Type,Stock,VIN,Year,Make,Model,Body,Trim,Doors,ExteriorColor,InteriorColor,EngineCylinders,EngineDisplacement,Transmission,Miles,SellingPrice,MSRP,BookValue,Invoice,Certified,DateInStock,Description,Options,Categorized,Comments,Style_Description,Ext_Color_Generic,Ext_Color_Code,ExtColorHexCode,Int_Color_Generic,Int_Color_Code,IntColorHexCode,Int_Upholstery,Engine_Block_Type,Engine_Aspiration_Type,Engine_Description,Transmission_Speed,Transmission_Description,Drivetrain,Fuel_Type,CityMPG,HighwayMPG,EPAClassification,WheelBase_Code,Internet_Price,Misc_Price1,Misc_Price2,Misc_Price3,Factory_Codes,MarketClass,PassengerCapacity,EngineDisplacementCubicInches
Type A,Kellen.Sibyls@mail.com,ABC123456789XYZ,2001,Toyota,Model XYZ,Coupe,Trim ABC,4,Blue,Beige,4,1.2.3.4.4,automatic,20000,230000,120000,10000,1234567,TRUE,13/10/00,"'Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Option A,Category X,Nice vehicle ,Style description goes here,Blue,BLU,#0000FF,Beige,BEG,#F5F5DC,Leather,V-Block,Turbocharged,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",AWD,Deisel,10,40,Class B,WBC-123,1020000,290000,210000,7801010,Code A,,4,
Type A,Kellen.Sibyls@mail.com,ABC123456789XYZ,2001,Toyota,Model XYZ,Coupe,Trim ABC,4,Blue,Beige,4,1.2.3.4.4,automatic,20000,230000,120000,10000,1234567,TRUE,13/10/00,"'Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Option A,Category X,Nice vehicle ,Style description goes here,Blue,BLU,#0000FF,Beige,BEG,#F5F5DC,Leather,V-Block,Turbocharged,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",AWD,Deisel,10,40,Class B,WBC-123,1020000,290000,210000,7801010,Code A,,4,
Type A,Kellen.Sibyls@mail.com,ABC123456789XYZ,2001,Toyota,Model XYZ,Coupe,Trim ABC,4,Blue,Beige,4,1.2.3.4.4,automatic,20000,230000,120000,10000,1234567,TRUE,13/10/00,"'Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Option A,Category X,Nice vehicle ,Style description goes here,Blue,BLU,#0000FF,Beige,BEG,#F5F5DC,Leather,V-Block,Turbocharged,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",AWD,Deisel,10,40,Class B,WBC-123,1020000,290000,210000,7801010,Code A,,4,
Type A,Kellen.Sibyls@mail.com,ABC123456789XYZ,2001,Toyota,Model XYZ,Coupe,Trim ABC,4,Blue,Beige,4,1.2.3.4.4,automatic,20000,230000,120000,10000,1234567,TRUE,13/10/00,"'Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Option A,Category X,Nice vehicle ,Style description goes here,Blue,BLU,#0000FF,Beige,BEG,#F5F5DC,Leather,V-Block,Turbocharged,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",AWD,Deisel,10,40,Class B,WBC-123,1020000,290000,210000,7801010,Code A,,4,
Type A,Kellen.Sibyls@mail.com,ABC123456789XYZ,2001,Toyota,Model XYZ,Coupe,Trim ABC,4,Blue,Beige,4,1.2.3.4.4,automatic,20000,230000,120000,10000,1234567,TRUE,13/10/00,"'Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Option A,Category X,Nice vehicle ,Style description goes here,Blue,BLU,#0000FF,Beige,BEG,#F5F5DC,Leather,V-Block,Turbocharged,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",AWD,Deisel,10,40,Class B,WBC-123,1020000,290000,210000,7801010,Code A,,4,
Type A,Kellen.Sibyls@mail.com,ABC123456789XYZ,2001,Toyota,Model XYZ,Coupe,Trim ABC,4,Blue,Beige,4,1.2.3.4.4,automatic,20000,230000,120000,10000,1234567,TRUE,13/10/00,"'Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Option A,Category X,Nice vehicle ,Style description goes here,Blue,BLU,#0000FF,Beige,BEG,#F5F5DC,Leather,V-Block,Turbocharged,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",AWD,Deisel,10,40,Class B,WBC-123,1020000,290000,210000,7801010,Code A,,4,
Type A,Kellen.Sibyls@mail.com,ABC123456789XYZ,2001,Toyota,Model XYZ,Coupe,Trim ABC,4,Blue,Beige,4,1.2.3.4.4,automatic,20000,230000,120000,10000,1234567,TRUE,13/10/00,"'Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Option A,Category X,Nice vehicle ,Style description goes here,Blue,BLU,#0000FF,Beige,BEG,#F5F5DC,Leather,V-Block,Turbocharged,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",AWD,Deisel,10,40,Class B,WBC-123,1020000,290000,210000,7801010,Code A,,4,
Type A,Kellen.Sibyls@mail.com,ABC123456789XYZ,2001,Toyota,Model XYZ,Coupe,Trim ABC,4,Blue,Beige,4,1.2.3.4.4,automatic,20000,230000,120000,10000,1234567,TRUE,13/10/00,"'Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Option A,Category X,Nice vehicle ,Style description goes here,Blue,BLU,#0000FF,Beige,BEG,#F5F5DC,Leather,V-Block,Turbocharged,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",AWD,Deisel,10,40,Class B,WBC-123,1020000,290000,210000,7801010,Code A,,4,
Type A,Kellen.Sibyls@mail.com,ABC123456789XYZ,2001,Toyota,Model XYZ,Coupe,Trim ABC,4,Blue,Beige,4,1.2.3.4.4,automatic,20000,230000,120000,10000,1234567,TRUE,13/10/00,"'Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Option A,Category X,Nice vehicle ,Style description goes here,Blue,BLU,#0000FF,Beige,BEG,#F5F5DC,Leather,V-Block,Turbocharged,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",AWD,Deisel,10,40,Class B,WBC-123,1020000,290000,210000,7801010,Code A,,4,
Type A,Kellen.Sibyls@mail.com,ABC123456789XYZ,2001,Toyota,Model XYZ,Coupe,Trim ABC,4,Blue,Beige,4,1.2.3.4.4,automatic,20000,230000,120000,10000,1234567,TRUE,13/10/00,"'Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Option A,Category X,Nice vehicle ,Style description goes here,Blue,BLU,#0000FF,Beige,BEG,#F5F5DC,Leather,V-Block,Turbocharged,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",AWD,Deisel,10,40,Class B,WBC-123,1020000,290000,210000,7801010,Code A,,4,
